name	city	latitude	longitude
Centre for Applied Neurogenetics, University of British Columbia	Vancouver, Canada	43.631679	-79.427313
Occupational Medicine & Public Health, The Faroese Hospital System	Torshavn, Faroe Islands	62.007864	-6.790982
University Lille, Jean-Pierre Aubert Research Centre	Villeneuve d’Ascq, France	50.623252	3.144265
NorthShore University Health System	Evanston, IL, USA	42.045072	-87.687697
Hôpital Universitaire Pitié-Salpêtrière	Paris, France	48.856614	2.352222
Mater University Hospital & University College	Dublin, Ireland	53.349805	-6.26031
Seoul National University Hospital	Seoul, Korea	35.907757	127.766922
National Taiwan University Hospital	Taipei City, Taiwan	25.032969	121.565418
Mayo Clinic	Jacksonville, Florida, USA	30.264223	-81.443733
University of Chile	Santiago, Chile	-33.443809	-70.650391
University of Lundbeck	Luebeck, Germany	53.865467	10.686559
Neurology, National Institute of Neurology	Tunis, Tunisia	36.806495	10.181532
Neurology, Kannur Medical College	Kerala, India	10.850516	76.271083
Neurology, University of Ottawa	Ottawa, Canada	45.42153	-75.697193
Epidemiology, University of California	Los Angeles, California, USA	34.052234	-118.243685
Neurology, University of Birmingham	Birmingham, United Kingdom	52.486243	-1.890401
Stellenbosch University	Cape Town, South Africa	-33.924869	18.424055
Max-Planck-Institute for Psychiatry	Munich, Germany	48.135125	11.581981
Hallym University	Gyonggi-do, Korea	37.508092	127.393331
San Gerardo Hospital	Monza, Italy	45.5845	9.274449
University of Toronto	Toronto, Canada	43.659598	-79.394792
Griffith University	Brisbane, Australia	-27.963265	153.384564
University of British Columbia	Vancouver, Canada	43.631679	-79.427313
Karolinska Institutet	Stockholm, Sweden	59.349438	18.021453
Contrada Burga	Cosenza, Italy	39.298263	16.253736
Instituto C.S.S. Mendel	Rome, Italy	41.902783	12.496366
Oslo University Hospital	Oslo, Norway	59.913869	10.752245
Centro Parkinson, Istituti Clinici di Perfezionamento	Milan, Italy	45.465422	9.185924
Luxembourg Centre for Systems Biomedicine, University of Luxembourg & Centre Hospitalier de Luxembourg	Luxembourg	49.815273	6.129583
Hertie Institute for Clinical Brain Research / DZNE	Tübingen, Germany	48.521636	9.057645
Faculty of Medicine, University of Tartu	Estonia	58.373328	26.72651
Stanford University	Palo Alto, California, USA	37.418232	-122.157151
Neurology, Juntendo University School of Medicine	Tokyo, Japan	35.709026	139.731992
Chaim Sheba Medical Center, Sagol Neuroscience Center	Tel Aviv, Israel	32.0853	34.781768
Norwegian University of Science and Technology	Trondheim, Norway	63.430515	10.395053
French National Institute of Health and Medical Research (Inserm)	Paris, France	50.61216	3.035709
Institute of Neurogenetics, University of Lübeck	Lübeck, Germany	53.865467	10.686559